t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7975136241170997,-0.0013415368388565996,-3.42327874758209,-0.0007586391587142693,-2.438331327578421,-0.0005483738657614534
0.03,-0.0007143811166936662,-1.2082585675680428e-06,0.8764682640367953,-3.4138755291882654e-07,-0.0010972488772370743,-2.467681900763165e-07,0.9999993980221807,-0.02392540872351299,-4.024610516569799e-05,-0.10269836242746269,-2.275917476142808e-05,-0.07314993982735263,-1.64512159728436e-05,-0.8489500317987755,-0.0013364348184619068,-0.3122573743409838,-0.0001074075565400956,-0.05768813861190836,-0.00035540473837666897
0.06,-0.002185035892365709,-3.6207121686527363e-06,0.8731013845140327,-7.309389635896485e-07,-0.0022204560326022087,-6.535122473918418e-07,0.9999975347839843,-0.049393909677476255,-8.033914971955519e-05,-0.1120660836576922,-2.5981401457630947e-05,-0.07488058398570988,-2.711335812414367e-05,-0.44854504486384705,-0.0006241590037469186,-0.1000070764766674,-0.00014244412656533312,0.12835349213928282,-0.00040030024759746263
0.09,-0.004051506975222374,-6.595697761472633e-06,0.8696390663857144,-1.1841514650517421e-06,-0.0032859016326017435,-1.2405747126149258e-06,0.9999946014091874,-0.06285026102339167,-9.906391983196274e-05,-0.11506629595199222,-3.025472525459094e-05,-0.0710299792215314,-3.912236555206755e-05,-0.172784626017787,-0.00019351850398867387,-0.08367894693635947,-0.00021945970982106822,0.1468020515338111,-0.00034157957633429437
0.12,-0.006065756494150976,-9.745569984731315e-06,0.8660964153658447,-1.7355320011697997e-06,-0.004285283195330188,-1.9817485528866317e-06,0.9999908181283448,-0.06803379980392528,-0.00010486947495162295,-0.117576664360083,-3.683851654922299e-05,-0.06662591767551707,-4.9369752842096376e-05,-0.0066384810028701224,5.279919268172395e-05,-0.07203955301815768,-0.0002577549892281983,0.15162388179784614,-0.0002521517014260066
0.15,-0.008078521379123358,-1.2849257711857983e-05,0.8624849928427811,-2.40227813392686e-06,-0.005216430671686841,-2.837003233476806e-06,0.9999863943260567,-0.06823295423401138,-0.00010328549917117123,-0.11973785095062774,-4.457116622606894e-05,-0.06207720122158168,-5.693430388487657e-05,0.08721531725647225,0.00018586651932972487,-0.061442218325908904,-0.0002678286776049976,0.15402324967222114,-0.00016615962565941222
0.18,-0.010005694444354285,-1.5788133710415436e-05,0.8588155592435589,-3.1889569210512825e-06,-0.0060782644576039,-3.76782165547875e-06,0.999981527167786,-0.06561649471631721,-9.770950359127949e-05,-0.121581117500405,-5.260602655421887e-05,-0.057456503731415046,-6.191909265465894e-05,0.13521254836982877,0.0002493708481534629,-0.051546344452406245,-0.0002598155178381578,0.15341112387771005,-9.67909675737566e-05
0.21,-0.011804511442452731,-1.8506452753241198e-05,0.8550981297575521,-4.092023491549454e-06,-0.006871060368714256,-4.743123439874999e-06,0.9999763939664613,-0.06156011826522235,-9.02283781466756e-05,-0.12312750783397719,-6.0400492089363606e-05,-0.052854170015083746,-6.482282168187164e-05,0.15477632266929042,0.000270509690326437,-0.042363486872827316,-0.00024050607915054867,0.14977194031580154,-4.623550845006541e-05
0.24,-0.013457846807947517,-2.0986656609653617e-05,0.851341865591373,-5.102850252891867e-06,-0.0075964565493796075,-5.7402474189466664e-06,0.9999711464781891,-0.05691682858514364,-8.211308743688249e-05,-0.124398412440162,-6.761567446388006e-05,-0.0483610118056097,-6.62098869353736e-05,0.1572640145481703,0.0002665756839916045,-0.033814478600188824,-0.00021447440744881696,0.1434603757340298,-1.2214997064774469e-05
0.27,-0.014963971126592814,-2.3233656391403646e-05,0.8475551276347095,-6.209772934046493e-06,-0.008257293781099273,-6.743927824713661e-06,0.9999659079265506,-0.05219890814869853,-7.411581691713435e-05,-0.12541284679816767,-7.404990668734457e-05,-0.0440572005335888,-6.657633684731684e-05,0.15000953592921462,0.0002487094443851118,-0.025776078612682163,-0.00018485356206088266,0.1350208226255205,8.87419348938323e-06
0.3,-0.01632993353628509,-2.5264714258896095e-05,0.843745608955442,-7.399497634989148e-06,-0.008857370435611241,-7.744676483042724e-06,0.9999607726677251,-0.04769862207082209,-6.6654533585581e-05,-0.12618612915654814,-7.959551354917106e-05,-0.04000657585482319,-6.631011104263534e-05,0.13769341794140466,0.00022409224825238605,-0.018106339587098397,-0.00015379386547459406,0.1250547043392629,2.059400439846648e-05
0.33,-0.01756733633695129,-2.7102936325162348e-05,0.8399204997646642,-8.65807069862829e-06,-0.009401171784648494,-8.737185072376449e-06,0.999955807932418,-0.043567819532579946,-5.993176613800942e-05,-0.1267293193441611,-8.420932951340887e-05,-0.0362549347246453,-6.569229091068135e-05,0.12325270461919047,0.0001972832764125243,-0.010657779304454884,-0.00012274731941191996,0.11414658624170926,2.5958897156286298e-05
0.36,-0.018689682745078418,-2.87731568095491e-05,0.8360866603023325,-9.971536319667322e-06,-0.009893606916002176,-9.718974348030903e-06,0.999951056976441,-0.039870238394004234,-5.4013267845633686e-05,-0.12704905272329475,-8.789174909576647e-05,-0.03283053713739402,-6.491352399599276e-05,0.1084836821745423,0.00017107553760287164,-0.0032820443397274524,-9.265369411870505e-05,0.10282711404951783,2.7326304211261476e-05
0.39,-0.0197107549691532,-3.029942975262764e-05,0.8322507911747319,-1.132636381056351e-05,-0.010339769930787763,-1.0689339160749502e-05,0.999946543028791,-0.036615727928767966,-4.888100171754754e-05,-0.12714751405348657,-9.067135991932762e-05,-0.029745723715908483,-6.409373486965491e-05,0.09444109896653963,0.00014706810623539568,0.004170088134838323,-6.407155277804444e-05,0.09155890401449795,2.644580388377893e-05
0.42,-0.020643662885885743,-3.170360387287618e-05,0.8284195985736916,-1.2709702542474641e-05,-0.010744731767381709,-1.1648566844776312e-05,0.9999422735548394,-0.03378249495977178,-4.446895853048567e-05,-0.12702241140944143,-9.259350650266895e-05,-0.026998956595473543,-6.330036075314155e-05,0.08170289882259674,0.0001260607777998357,0.011851068975136103,-3.727427032068631e-05,0.08073625384914607,2.4569966527498988e-05
